time,AvgResponseTime,nrOfInstances,AvgMemory,AvgCPU,numebrOfRequest,Latency
2020-06-30 14:56:34.582,,,,,1.0,3883.0
2020-06-30 14:56:34.863,,,,0.2001501501877629,,
2020-06-30 14:56:39.863,,,,8.252191192167983,,
2020-06-30 14:56:44.863,,,,8.252191192167983,,
2020-06-30 14:56:59.863,,,,8.48673017626777,,
2020-06-30 14:57:04.263,,,21.73365144927785,,,
2020-06-30 14:57:04.863,,,,8.48673017626777,,
2020-06-30 14:57:06.763,256.0,1.0,,,,
2020-06-30 14:57:09.863,,,,0.4180642302815516,,
2020-06-30 14:57:11.431,,,,,1.0,115.0
2020-06-30 14:57:11.763,256.0,1.0,,,,
2020-06-30 14:57:12.476,,,,,1.0,78.0
2020-06-30 14:57:14.863,,,,0.4180642302815516,,
2020-06-30 14:57:16.763,256.0,1.0,,,,
2020-06-30 14:57:19.863,,,,0.618875100444149,,
2020-06-30 14:57:21.763,256.0,1.0,,,,
2020-06-30 14:57:24.863,,,,0.618875100444149,,
2020-06-30 14:57:26.763,256.0,1.0,,,,
2020-06-30 14:57:29.863,,,,1.089167898491662,,
2020-06-30 14:57:31.763,56.0,1.0,,,,
2020-06-30 14:57:34.263,,,21.9010169498204,,,
2020-06-30 14:57:34.863,,,,1.089167898491662,,
2020-06-30 14:57:36.763,56.0,1.0,,,,
2020-06-30 14:57:39.863,,,,1.1057928024976622,,
2020-06-30 14:57:41.763,56.0,1.0,,,,
2020-06-30 14:57:44.863,,,,1.1057928024976622,,
2020-06-30 14:57:45.404,,,,,1.0,88.0
2020-06-30 14:57:45.573,,,,,1.0,69.0
2020-06-30 14:57:56.763,0.0,1.0,,,,
2020-06-30 14:57:59.863,,,,1.141826881543897,,
2020-06-30 14:58:01.763,56.0,1.0,,,,
2020-06-30 14:58:04.263,,,21.9277947731856,,,
2020-06-30 14:58:04.863,,,,1.141826881543897,,
2020-06-30 14:58:06.763,56.0,5.0,,,,
2020-06-30 14:58:09.863,,,,1.108543740391032,,
2020-06-30 14:58:11.763,56.0,5.0,,,,
2020-06-30 14:58:14.863,,,,1.108543740391032,,
2020-06-30 14:58:16.763,56.0,5.0,,,,
2020-06-30 14:58:18.722,,,,,1.0,65.0
2020-06-30 14:58:19.863,,,,0.9081262136332928,,
2020-06-30 14:58:20.017,,,,,1.0,59.0
2020-06-30 14:58:21.353,,,,,1.0,56.0
2020-06-30 14:58:21.763,56.0,5.0,,,,
2020-06-30 14:58:24.863,,,,0.9081262136332928,,
2020-06-30 14:58:26.763,0.0,5.0,,,,
2020-06-30 14:58:29.863,,,,1.0239791252779649,,
2020-06-30 14:58:31.763,44.0,5.0,,,,
2020-06-30 14:58:34.263,,,21.959465172493672,,,
2020-06-30 14:58:34.863,,,,1.0239791252779649,,
2020-06-30 14:58:36.763,44.0,5.0,,,,
2020-06-30 14:58:39.863,,,,1.007262316556093,,
2020-06-30 14:58:41.763,44.0,5.0,,,,
