response_time,time,violation,go_memstats_heap_objects,go_memstats_mcache_inuse_bytes,pushgateway_http_push_size_bytes_sum,pushgateway_http_push_size_bytes,go_memstats_mcache_sys_bytes,served_request,memory_alloc,scrape_samples_post_metric_relabeling,cpu_usage,scrape_samples_scraped,go_threads,request_rate,go_goroutines,lost_request,process_open_fds,cpu_alloc,go_gc_duration_seconds_count,scrape_samples_post_metric_relabeling,scrape_samples_scraped,pushgateway_http_requests_total,number_instances,pushgateway_http_push_duration_seconds_count,pushgateway_build_info,pushgateway_http_push_size_bytes_count,go_info,up,up,process_cpu_seconds_total,scrape_duration_seconds,performance,pushgateway_http_push_duration_seconds,pushgateway_http_push_duration_seconds_sum,scrape_duration_seconds,go_gc_duration_seconds_sum,go_gc_duration_seconds,go_memstats_gc_cpu_fraction,go_memstats_lookups_total,push_failure_time_seconds,scrape_series_added,scrape_series_added,process_virtual_memory_max_bytes,go_memstats_frees_total,go_memstats_mallocs_total,go_memstats_mspan_inuse_bytes,go_memstats_mspan_sys_bytes,go_memstats_stack_inuse_bytes,go_memstats_stack_sys_bytes,process_max_fds,go_memstats_buck_hash_sys_bytes,go_memstats_other_sys_bytes,go_memstats_gc_sys_bytes,go_memstats_heap_alloc_bytes,go_memstats_alloc_bytes,memory,go_memstats_heap_inuse_bytes,go_memstats_next_gc_bytes,go_memstats_alloc_bytes_total,process_resident_memory_bytes,go_memstats_heap_released_bytes,go_memstats_heap_idle_bytes,go_memstats_heap_sys_bytes,go_memstats_sys_bytes,process_virtual_memory_bytes,process_start_time_seconds,push_time_seconds,start_time,go_memstats_last_gc_time_seconds
0,1601155158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1446974.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0,1601155159,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1446974.0,0.0,0.0,11854952.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,1601155160,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.66666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1446974.0,0.0,0.0,11854952.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72810744.0,0.0,0.0,0.0,0.0,0.0
0.0,1601155161,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.66666666667,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,884736.0,0.0,1446974.0,0.0,0.0,11854952.0,0.0,0.0,0.0,13811664.0,0.0,0.0,0.0,0.0,0.0,72810744.0,0.0,0.0,1601154872.61,0.0,0.0
0.0,1601155162,0,0.0,0.0,0.0,0.0,16384.0,0.0,0.0,0.0,0.0,24.6666666667,0.0,0.0,0.0,3.66666666667,0.0,0.0,0.0,0.0,24.6666666667,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.7897247715,0.0,0.0,0.0,0.7897247715,0.0,0.0001749198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,884736.0,0.0,1446974.0,0.0,0.0,11854952.0,0.0,0.0,0.0,13811664.0,0.0,0.0,0.0,0.0,0.0,72810744.0,0.0,0.0,1601154872.61,0.0,0.0
0.0,1601155163,0,0.0,0.0,0.0,489.0,16384.0,0.0,0.0,0.0,0.0,24.6666666667,0.0,0.0,0.0,3.66666666667,0.0,0.0,0.0,0.0,24.6666666667,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.7897247715,0.0,0.0,0.0,0.7897247715,0.0,0.0001749198,1.16983576019e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,884736.0,884736.0,0.0,1446974.0,0.0,0.0,11854952.0,0.0,0.0,0.0,13811664.0,0.0,0.0,0.0,0.0,0.0,72810744.0,0.0,0.0,1601154872.61,1601154884.59,0.0
3692.32903586,1601155164,1,0.0,0.0,0.0,489.0,16384.0,0.0,0.0,0.0,0.0,24.6666666667,0.0,0.0,0.0,3.66666666667,0.0,0.0,0.0,0.0,24.6666666667,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.7897247715,0.0,0.0,0.0,0.7897247715,0.0,0.0001749198,1.16983576019e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,884736.0,884736.0,0.0,1446974.0,1758394.0,0.0,11854952.0,0.0,0.0,0.0,13811664.0,0.0,0.0,0.0,0.0,0.0,72810744.0,119447552.0,0.0,1601154872.61,1601154884.59,0.0
3692.32903586,1601155165,1,0.0,0.0,0.0,489.0,16384.0,0.0,0.0,8.0,0.0,24.6666666667,0.0,0.0,0.0,3.66666666667,0.0,0.0,0.0,8.0,24.6666666667,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.7897247715,0.0,0.0,0.0,0.7897247715,0.000671874,0.0001749198,1.16983576019e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98304.0,884736.0,884736.0,0.0,1446974.0,1758394.0,0.0,11854952.0,0.0,0.0,0.0,13811664.0,0.0,0.0,0.0,0.0,0.0,72810744.0,119447552.0,0.0,1601154872.61,1601154884.59,0.0
3692.32903586,1601155166,1,0.0,0.0,0.0,489.0,16384.0,0.0,0.0,8.0,0.0,24.6666666667,0.0,0.0,0.0,3.66666666667,0.0,3.0,0.0,8.0,24.6666666667,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.7897247715,0.0,0.0,0.002401081,0.7897247715,0.000671874,0.0001749198,1.16983576019e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98304.0,884736.0,884736.0,0.0,1446974.0,1758394.0,0.0,11854952.0,0.0,0.0,0.0,13811664.0,0.0,0.0,0.0,0.0,0.0,72810744.0,119447552.0,0.0,1601154872.61,1601154884.59,0.0
3692.32903586,1601155167,1,0.0,0.0,0.0,489.0,16384.0,0.0,0.0,8.0,39.6333333333,24.6666666667,0.0,0.0,10.0,3.66666666667,0.0,3.0,0.0,8.0,24.6666666667,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.7897247715,0.0,0.0,0.002401081,0.7897247715,0.000671874,0.0001749198,1.16983576019e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98304.0,884736.0,884736.0,0.0,1446974.0,1758394.0,0.0,11854952.0,12066184.0,0.0,0.0,13811664.0,0.0,0.0,0.0,0.0,0.0,72810744.0,119447552.0,0.0,1601154872.61,1601154884.59,0.0
